SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Statistics	3	1885	9		Australian and Queensland statistics in	detail
Thompson Estate BC	3	1885	11		report of progress on church	
Coombs, Rev. H.	4	1885	3		resigns from Wharf St BC - health	
Glover, Rev. J.	4	1885	3		commences at Fortesque St 5 May after	interim at Wharf St
White, Rev W.	4	1885	3		declines call to Maryborough	
Hale, Bishop	4	1885	6		address of farewell presented by	Baptist Association
Maryborough BC	4	1885	11		advised to consider calling Rev. W.	Bonser of Fenton, Staffs.
Arnold, Miss Ellen	4	1885	12		Queensland visit delayed to June	
Tucker, Rev. E.	4	1885	12		Welcome at Rockhampton - South Moulton	Dev., Scotland, Norfolk, Yarmouth, Tasmania
Wharf St BC	4	1885	12		accepts resignation of Rev. H. Coombs	Rev J. Voller chairman - Dr Lllandels contacted
Booval	5	1885	3		land purchased for church by Ipswich	
Minden	5	1885	3		land to be obtained for church by	German Baptists
Voller, Rev James	5	1885	3		present at Baptist Association meeting	and page 4, 9
Richer, Rev W.	5	1885	4		visits England for 6 months	
Rockhampton BC	5	1885	4		called W. Bonser from Staff.	plans for church prepared by R. Gailey
Windsor Road BC	5	1885	4		new building plans on new site	
Nundah	5	1885	13		report on progress of starting work	
Arnold, Miss Ellen	6	1885	4		visit to Queensland	
Queensland Baptist Missionary Society	6	1885	5		formation of society and decision to	send 2 women missionaries - editorial page 9, 12
Engelsburg BC	6	1885	13		land purchased for burial ground	
Gross, Mrs	6	1885	13	Engelsburg	obit	
Bible - Revised Version	7	1885	4		review article	
Hollingdale, Mr William	7	1885	9	Jireh	obit	ex-convict - converted by W. Douglas at 70 years
Arnold, Miss Ellen	7	1885	12		report of meeting at Wharf St BC	p 13 - at Jireh, p 14 Rockhampton, Toowoomba
Anderson, Rev. S.C.	7	1885	13		available for ministry - no openings	
Minden BC	7	1885	13		chapel opened 24 May by W. Peters	of Engelsburg - G. Nitz pastor of Minden
Sneyd, Mr Samuel	7	1885	14	Enoggera	obit	
Plested, Miss Martha	8	1885	3		accepted as missionary	
Young Women's Mission Class	8	1885	3		commencement of classes	
Watkinson, Eliza Jane	8	1885	8		obit	
Cavanagh, Mr	8	1885	12		farewell services at Albion	
Glover, Rev. J.	8	1885	13		public recognition at Fortesque St 2 Aug	- a year vacancy - some details of his life
Rockhampton BC	8	1885	13		anniversary - review of progress	of Denison St and North Rockhampton
Thompson Estate BC	8	1885	13		chapel opened 19 July	
Maryborough BC	9	1885	3	see also p 11	church building to be opened 27 Sept	Rev W. Bonser unable to accept call - wife ill
Coombs, Rev. H.	9	1885	4		farewell services at Wharf St BC	see also page 12
Plested, Miss Martha	9	1885	7		announced departing for India as first	Queensland Baptist missionary
Whale, Rev W.	9	1885	11		announced as pastor at Wharf St BC	see also page 4
Plested, Miss Martha	10	1885	3		report of travel to India via Sydney	and Melbourne
Whale, Rev W.	10	1885	3		arrived at Wharf St BC to replace	Rev. H. Coombs
Plested, Miss Martha	10	1885	9		report of farewell by Qld Baptist	Missionary Society and page 12
Coombs, Rev. H.	10	1885	10		report of farewell from Wharf St BC	health - problem of typhoid epidemic, heat - p 13
Danish ministry	10	1885	11		application for help to Baptist Assoc.	referred to J. MacPherson
Coombs, Rev. H.	10	1885	12		visit Maryborough	
Bonser, Rev. W.	11	1885	4		accepts call to Maryborough	via C.H. Spurgeon - p 7 - death of his wife
Whale, Rev William	11	1885	6		public recognition service	
Childs, Mr W.	11	1885	7	Toowoomba	obit	
Maryborough BC	11	1885	8		new church opened 27 Sept	
Missions	11	1885	9		farewell to Zenana missionaries in	Adelaide - supplement
Higlett, Rev. W.	11	1885	11		presidential address	
Statistics	11	1885	15		Baptist Association of Queensland	annual statistics - see Dec 1885 p 3 for errata
History	12	1885	3		Rev. W. Moore to provide first history	of the Baptists in Queensland
Statistics	12	1885	3		correction to annual statistics	
Baptism	12	1885	4		Why we do not baptise infants	
Plested, Miss Martha	12	1885	5		letters	
Bishops	12	1885	8		editorial - episcopal and congregational	bishops added to Queensland
Conference	12	1885	11		report of church conference	
Maryborough BC	12	1885	11		need for interim to conduct services	
Taylor, Rev. D.	12	1885	11		no opportunity in Queensland - offer	to come from England declined
Richer, Rev W.	12	1885	12		report of visit to England	
Bale, Mr J.L.	12	1885	13	Wharf St BC	obit	
Bonser, Rev. W.	1	1886	3		arrival from England expected soon	for Maryborough
Roberts, Rev R.H.	1	1886	3		called by Petrie Terrace from Boundary	Rd Middlesborough 1879 - Pontypool College
Welch, Rev E.J.	1	1886	3		expected to leave England soon	at Sarratt Herts.
Moore, Rev. W.	1	1886	7		History of Baptist Denomination in	Queensland part 1
Bulimba BC	1	1886	12		building in need of repair	
Bulimba BC	2	1886	3		re-building chapel	
Moore, Rev. W.	2	1886	3		resigns from Petrie Terrace BC after	16 years
Wharf St Baptist Church Institute	2	1886	3		report of meeting and address	
Young Women's Class	2	1886	3		formed in churches to raise funds for	Zenana missions
Bonser, Rev. W.	2	1886	4		letter reasons for coming to Australia	
Moore, Rev. W.	2	1886	4		Early history of Baptists in Queensland	Part 2
Baptismal regeneration	2	1886	8		editorial on Bishop Webber's comments	
Home amusements	2	1886	10		lecture by W. Higlett	
Baptism	2	1886	11		letter on infant Baptism	
Bonser, Rev. W.	2	1886	11		farewelled from Fenton England after 4	years
Dalton, Mr John	2	1886	11	Toowoomba	obit	
Moore, Rev. W.	2	1886	11		resigns from Petrie Terrace after 16 yrs	at age 60
Moore, Rev. W.	3	1886	3		Early history of Baptists in Queensland	Part 3
Home missions	3	1886	8		edit. on home mission work	
Bonser, Rev. W.	3	1886	11		welcomed to Queensland - Rev. W.V. Young	knew him in England
Engelsburg Kalbar	3	1886	11		report of revival	
Hendra BC	3	1886	11		church building extended	
Ipswich BC	3	1886	11		extra land bought - Rev W.V. Young's	2nd anniversary
M'Kiek, Sister	3	1886	11	Engelsburg Kalbar	obit	
Peters, Rev. W.	3	1886	11		resigns from Engelsburg Kalbar after	16 years
South Brisbane Vulture St BC	3	1886	12		report of aggressive attitude of Church	of England - decidely Romeward
Bonser, Rev. W.	4	1886	3		letter of commendation from North	Staffordshire Baptist Association
Bulimba BC	4	1886	3		building completed	
Handbook	4	1886	3		Australian Baptist handbook published	by Victorian Baptist Association
Engelsburg Kalbar BC	4	1886	4		report of visit by Rev. W. Higlett	
Moore, Rev. W.	4	1886	5		Early history of Baptists in Queensland	Part 4
Baptism	4	1886	8		edit.	
Maryborough BC	4	1886	10		welcome to Rev. W. Bonser	
Alexander, Mr J.M.	4	1886	11		preaching at Rosewood - under training	of Rev. W.V. Young
Engelsburg Kalbar BC	4	1886	11		resignation of W. Peters - replaced by	C. Kruger - deacon, co-pastor for 8 -9 years
Welch, Rev E.J.	6	1886	3		arrived in Queensland from Sarratt BC	England looking for pastorate - secretary YMCA
Poole, Rev. W.	6	1886	8		edit. on wreck of Ly-ee-Moon and	safety of Rev. W. Poole
Dunwich Mission	6	1886	10		visit by Rev. J. M'Pherson, J. Glover	
Maryborough BC	7	1886	3		report by Rev. W. Higlett on re-forming	of church, visit to Gympie, Rockhampton
Calvinistic Baptists	7	1886	4		Gospel Standard Baptists at Rockhampton	under J. Littleton ex Bath and Bournemouth
Drake-Wakefield	7	1886	11	Rockhampton	wedding - Miss Wakefield and Arthur	Drake
Poole, Rev. W.	7	1886	11		preaches at South Brisbane BC on	his experience with Ly-ee-Moon wreck
Buzacott, Mr Willam Hitchcock	7	1886	12	Rockhampton	obit - memorial tablet	
Buzacott, W.H.	7	1886	12	Maryborough	Memorial tablet	
Baptism	8	1886	5	Rockhampton	article by A.J. Hunter	
Catechism	8	1886	8		editorial	
Pumpkin Christians	8	1886	9		article by Wm Bonser	
Roberts, W.H	8	1886	12		received into Baptist Association	ex Yorkshire and Middlesborough Associations
Roberts, R.H	8	1886	13		preaching at South Brisbane Vulture St	
Baptist Sunday School Union	9	1886	9		report	
Roberts, Rev R.H.	9	1886	11		welcomed to Petrie Terrace BC	
Alexander, Mr John	9	1886	12		preaching at Rosewood Scrub for last	seven months under Ipswich BC
Anderson, George	9	1886	12		engaged to preach in Toowoomba - from	Dunfermline, Sec. of YMCA
Welch, Rev E.J.	9	1886	12		preaching at Wharf St BC also E. Hooker	and Rev R.H. Roberts
Tucker, Rev. E.	10	1886	3		resigns from Rockhampton BC	
Freestone Creek	10	1886	7		report of visit to Danish Baptists by	William Higlett to form church under A.C. Jansen
Census	10	1886	8		editorial on Queensland census figures	
Downing, Rev. John	10	1886	10		resigns from Williamstown Dec 1886	
Dinmore BC	10	1886	11		church building opened under Ipswich	
Voller, Rev James	10	1886	11		Baptist Association to be represented at	farewell meeting at Wharf St BC see page 12
Voller, Rev James	10	1886	12		concludes at Sandgate BC	
Welch, Rev E.J.	11	1886	3		resigns as Secretary YMCA to reenter	Baptist pastoral ministry at Sandgate
Baptist Association of Qld	11	1886	5		annual meetings with reports and	addresses
Peters, Rev. W.	11	1886	7		retires after 16 years at Engelsburg	succeeded by C. Kruger
Voller, Rev James	11	1886	7		tribute by Baptist Association	
Welch, Rev E.J.	11	1886	14		welcomed to Baptist Association	from Hertfordshire Assoc.
Denominational distinctions	12	1886	8		editorial - particular and general	strict and open, open and union
Dickman, C.	12	1886	9	Fassifern	obit	
German Baptists	12	1886	11		associated with Maryborough BC	
Jensen, Rev. A.C.	12	1886	11	Freestone Creek	recognized as pastor - formerly pastor	in Denmark
Roberts, Rev R. Henry	12	1886	12		response to Rev. W. Higlett's paper on	denominational loyalty - General Baptists - open
Welch, Rev E.J.	12	1886	12	Sandgate	replaces Rev James Voller - welcomed to	church
Fossil Christians	1	1887	3		article by Wm Bonser	
Bush ministry	1	1887	5		plans for ministry in the bush by	Toowoomba BC
Page, William	1	1887	10		goes from NSW to Spurgeons College	
Nundah BC	1	1887	11		First anniversary of opening of chapel	
Higlett, Rev. W.	1	1887	12		reply to comments on denominational	loyalty from Rev. R.H. Roberts
Young, Rev W.V.	1	1887	12	Ipswich	4th year of ministry begun	
Downing, Rev. John	2	1887	3		declines call to Rockhampton and moves	to Kyneton Victoria
Rosewood BC	2	1887	3		new church building to be erected	
Statistics	2	1887	3		Baptist statistics in Australia	and overseas
Roberts, Rev R. Henry	2	1887	13		reply to W. Higlett on denominational	loyalty
Price, Mrs Martha  Mrs Chambers	2	1887	24	Jireh	obit	
Alexander, Mr John	3	1887	11		2nd year of preaching as bush missionary	at Rosewood
Blackstone	3	1887	11		church formed Feb 27 (Silkstone)	
Phrenology and physiognomy	3	1887	11		lecture at Hendra Clayfield by Mr	S. Glassop & at Ipswich by W. Petie of Dinmore
Beasley, Thomas	3	1887	13		response to W. Bonser on fossils	
Dinmore BC	5	1887	3		new building to be erected	
Home Mission	5	1887	4		address by W. Whale to Baptist	Association on Home mission work
Grimes, Charles	5	1887	8	Wharf St	obit	youngest son of William senr.
Grimes, Charles	5	1887	8		obit	
Moore, Rev. W.	5	1887	12		moves from Petrie Terrace to	Indooroopilly
Phrenology	5	1887	13		lecture by W. Petie at South Brisbane	Vulture St BC
Voller, Rev James	6	1887	3		report of accident in Sydney	
Sandgate BC	6	1887	4		church formed - R. Pearce July 1874 to	Apr 75 J Voller Jan 76-Sep 86 E J Welch Nov 86
Formation of a church	6	1887	9		descriptive report of Sandgate function	
Present needs	6	1887	9		paper to Baptist Association by Rev	R.H. Roberts
Glover, Rev J.	6	1887	12		invited to Rockhampton BC	
MacPherson, Rev. John	6	1887	12		visit Dunwich and St Helena	
Warren, Mrs	6	1887	12	Jireh	obit	
Hooper, Mrs	7	1887	2	Jireh	obit	
Hooper, Mrs Wm	7	1887	2		obit	
Glover, Rev John	7	1887	3		leaves Fortesque St BC for Rockhampton	concludes 24 July - see August 87 issue p 10
Young Women's Mission Class	7	1887	4	Wharf St BC	2nd anniversary	
Glover, Rev. J.	8	1887	10		farewell from Fortesque St BC	
Rockhampton BC	9	1887	12		welcomes J. Glover - E. Tucker resigned	end Nov
Sandgate BC	9	1887	12		report on church and building plans	
Glover, Rev. J.	10	1887	4	Rockhampton	How I became a Baptist	ex Church of England and Independent
Association - its purpose	10	1887	8		editorial	
Alexander, Mr John	10	1887	12		resigns from Rosewood - replaced by	T. Vigis for 3 months
Dinmore BC	12	1887	3		new church to be opened on Jan 1	
Sandgate BC	12	1887	3		opening of new church planned for	Christmas Day
Windsor Road BC	12	1887	4		building plans	
Spurgeon, C.H.	12	1887	5		reports on Down Grade and Spurgeon's	resignation from Baptist Union
Baptist Association of Qld	12	1887	11		revised constitution	
Phelps, Mrs	12	1887	13	Ipswich	obit - nee Adkins, married Mr Gosling	then Rev. Thomas Deacon and then Abraham Phelps
Phelps, Mrs A.	12	1887	13	Ipswich	obit	formerly wife of Rev Thos. Deacon
Rosewood and Marburg	12	1887	13		report of visits by Baptist officials	Whale, Poole and Young
Christian Endeavour	1	1888	3		CE movement commenced at Wharf St and	commended - editorial p 8
MacPherson, Rev John	1	1888	3		City Mission	
Swan, Mrs	1	1888	4	Wharf St BC	obit	memorial sermon page 10
Spence, Mrs	1	1888	11	UEC, Wharf St	obit	
Simmonds, Miss E.	1	1888	12	Wharf St BC	memorial sermon - obit	
Weller, Mr A.G.	1	1888	14		assisting W. Whale at Wharf St in	pastoral and city mission work
Breewood, Rev. F. (T.)	2	1888	3		now in the Australia and available for	ministry - from Walthamstow
Vigis, Rev Thomas	2	1888	3		minister at Rosewood - church to be	received into the Baptist Association
Swan, Mrs James	2	1888	4	Wharf St	obit	also p 10
Christian Endeavour	3	1888	8		editorial in support	model constitution page 11
Breewood, Rev. T.	4	1888	3		visiting Brisbane and supplying pulpits	
Spurgeon, C.H.	4	1888	8		Down grade controversy - edit.	several other articles
Daniell, W.J.	4	1888	11	Gympie, Jireh	obit	
Breewood, Rev. T.	5	1888	3		returns to Victoria	
Downing, Rev. J.	5	1888	3		visits Brisbane from Victoria	
Whale, Rev W.	5	1888	8		report on northern tour	later pages contain reports from the churches
I'Erson, Rev.	5	1888	12		reported to be 75 yrs of age	
Jensen, Rev. A.C.	6	1888	3		formally recognized as pastor of Danish	church at Lower Freestone Creek
Bundaberg	6	1888	7		report on Christian witness	
Queensland Baptist Missionary Society	6	1888	10		Constitution	
Dugandan (Boonah)	6	1888	13		report on opening of church building	
Greenwood, Miss	6	1888	14		farewelled from Windsor Road prior to	marriage to Jas. Leitch of Pine River
Brame, Mr	7	1888	3		arrived in Charters Towers	
